"番号","表（用語）","定義","例","注記"
"N001","TCP/IP","インターネット通信の標準プロトコル群。信頼性の高いデータ転送を保証します。","Webサイト閲覧、メール送受信など","OSI参照モデル(N027)との関連"
"N002","IP","ネットワーク上の機器を識別する番号(IPアドレス)を定め、通信相手にデータを届けます。","PCやスマホが持つ192.168.1.10など","TCP(N003)やUDP(N004)と組み合わせて使用"
"N003","TCP","データを確実に、順序通りに送るための通信プロトコル。信頼性が高いです。","Webサイト表示(HTTP)、メール送信(SMTP)","UDP(N004)との対比"
"N004","UDP","信頼性より速度を重視するプロトコル。動画配信やオンラインゲーム等で利用されます。","ビデオ会議、DNS(N007)の問い合わせ","TCP(N003)との対比"
"N005","HTTP","Webサーバとブラウザ間で情報をやり取りするためのプロトコル。暗号化はされません。","WebサイトのURLが「http://」で始まる","HTTPS(N006)との違い"
"N006","HTTPS","HTTPをSSL/TLSで暗号化したもの。盗聴や改ざんを防ぎ、安全な通信を実現します。","ネットショッピング、ログインページ","HTTP(N005)との違い、SSL/TLSが必須"
"N007","DNS","ドメイン名(例: example.com)とIPアドレスを対応させ、相互に変換する仕組みです。","ブラウザにURL入力でサイトが表示される","Domain Name Systemの略、DHCP(N012)との混同"
"N008","FTP","ネットワーク経由でコンピュータ間のファイル転送を行うためのプロトコルです。","Webサーバへのファイルアップロード","File Transfer Protocolの略"
"N009","SMTP","電子メールを送信・転送するためのプロトコル。クライアントからサーバ、サーバ間で利用。","OutlookやGmailでのメール送信時","Simple Mail Transfer Protocolの略、POP3(N010)との関係"
"N010","POP3","メールサーバから電子メールを受信するためのプロトコル。メールはPCにダウンロードされます。","PCのメールソフトで受信ボタンを押す","Post Office Protocol 3の略、IMAP(N011)との違い"
"N011","IMAP","メールサーバ上のメールを閲覧・管理するプロトコル。複数端末での利用に便利です。","スマホとPCで同じ受信箱を見る","Internet Message Access Protocolの略、POP3(N010)との違い"
"N012","DHCP","ネットワーク接続時にIPアドレスなどの設定情報を自動で割り当てるプロトコルです。","Wi-Fi接続時に自動でネットが使える","Dynamic Host Configuration Protocolの略、DNS(N007)との混同"
"N013","NTP","ネットワークに接続された機器の時刻を、基準となる時刻サーバと同期させるプロトコルです。","PCやサーバの時刻自動調整","Network Time Protocolの略"
"N014","SSH","ネットワーク経由で他のコンピュータに接続し、遠隔操作するための安全なプロトコルです。","サーバのリモートメンテナンス","Secure Shellの略、Telnetより安全"
"N015","SNMP","ネットワーク機器の状態を監視・制御するためのプロトコル。管理に用いられます。","ルーターやスイッチの死活監視","Simple Network Management Protocolの略"
"N016","IPアドレス","ネットワーク上の機器を識別するための一意の番号。32ビット(IPv4)または128ビット(IPv6)。","192.168.1.1 (IPv4)","MACアドレス(N017)との違い"
"N017","MACアドレス","ネットワーク機器の製造時に割り当てられる物理的な固有番号。48ビットです。","00-1A-2B-3C-4D-5E","IPアドレス(N016)との違い、物理アドレスとも呼ぶ"
"N018","ポート番号","TCP/IP通信で、コンピュータ内のどのプログラムにデータを渡すかを指定する番号です。","HTTPは80番、HTTPSは443番","IPアドレスとセットで通信先を特定"
"N019","LAN","限定された範囲(オフィスや家庭内など)のコンピュータで構成されるネットワークです。","社内ネットワーク、家庭内Wi-Fi","Local Area Networkの略、WAN(N020)との対比"
"N020","WAN","地理的に離れた場所にあるLAN同士を接続した、広範囲なネットワークです。","インターネット、企業の拠点間接続","Wide Area Networkの略、LAN(N019)との対比"
"N021","ルーター","異なるネットワーク間を接続し、データの最適な経路を選択して中継する機器です。","家庭とインターネットを接続する","スイッチ(N022)との役割の違い"
"N022","スイッチ (L2)","MACアドレスを学習し、特定のポートにのみデータを転送するネットワーク機器です。","LAN内でPC同士を接続する","レイヤ2スイッチ、ハブ(N023)より高機能"
"N023","ハブ","受信したデータを全てのポートに転送する集線装置。現在はスイッチが主流です。","古いLAN環境で利用されていた","リピーターハブ、スイッチ(N022)との違い"
"N024","ファイアウォール","不正なアクセスから内部ネットワークを守るための防火壁。通信を監視・制御します。","企業ネットワークの入り口に設置","パケットフィルタリング、プロキシ(N025)との関係"
"N025","プロキシサーバ","内部ネットワークの代理としてインターネットに接続するサーバ。アクセス制御やキャッシュに利用。","特定のWebサイトへのアクセス制限","代理サーバ、ファイアウォール(N024)との連携"
"N026","NAT/NAPT","プライベートIPアドレスとグローバルIPアドレスを相互に変換する技術です。","1つのグローバルIPで複数PCがネット接続","IPマスカレードとも呼ばれる"
"N027","OSI参照モデル","国際標準化機構(ISO)が策定した、通信機能の7階層のモデルです。","物理層、データリンク層など","TCP/IPモデル(N001)と比較される"
"N028","物理層","OSI第1層。データを電気信号に変換し、ケーブルなどの物理媒体で伝送します。","LANケーブル、光ファイバー","OSI参照モデル(N027)の階層"
"N029","データリンク層","OSI第2層。隣接ノード間の通信を制御し、MACアドレスで宛先を判断します。","スイッチ(N022)がこの層で動作","OSI参照モデル(N027)の階層"
"N030","ネットワーク層","OSI第3層。IPアドレスを使い、最終的な宛先までの経路選択(ルーティング)を行います。","ルーター(N021)がこの層で動作","OSI参照モデル(N027)の階層"
"N031","トランスポート層","OSI第4層。データ転送の信頼性を確保し、エラー訂正や再送制御を行います。","TCP(N003)やUDP(N004)が該当","OSI参照モデル(N027)の階層"
"N032","セッション層","OSI第5層。通信の開始から終了までの一連の流れ(セッション)を管理します。","通信の確立、維持、終了の管理","OSI参照モデル(N027)の階層"
"N033","プレゼンテーション層","OSI第6層。データの表現形式を定義し、文字コードや圧縮、暗号化などを扱います。","文字コードのEUCとSJISを変換","OSI参照モデル(N027)の階層"
"N034","アプリケーション層","OSI第7層。利用者が操作するソフトウェアが提供する具体的な通信サービスを規定します。","HTTP(N005)やFTP(N008)が該当","OSI参照モデル(N027)の階層"
"N035","プロトコル","コンピュータ同士が通信する際に使用する、手順や規約、信号の形式などの約束事です。","HTTP、TCP/IPなど多数存在する","通信規約、TCP/IP(N001)はプロトコル群"
"N036","パケット","データを分割した小さな単位。ヘッダに宛先などの制御情報が付加されます。","小包のようにデータを分割して送る","フレームやセグメントとの関連"
"N037","ブロードキャスト","同一ネットワーク内の全ての機器に対して、一斉にデータを送信する通信方式です。","ARP要求、DHCPの探索","ユニキャスト(N038)との対比"
"N038","ユニキャスト","特定の一つの機器だけを宛先として、データを送信する1対1の通信方式です。","通常のWebサイト閲覧","ブロードキャスト(N037)との対比"
"N039","マルチキャスト","特定のグループに所属する複数の機器に対して、同時にデータを送信する通信方式です。","映像配信、オンラインゲーム","ユニキャスト(N038)とブロードキャスト(N037)の中間"
"N040","VLAN","物理的な接続形態とは独立して、仮想的にLANを構築する技術。スイッチで実現します。","部署ごとにネットワークを論理的に分割","Virtual LANの略、スイッチ(N022)の機能"
"N041","VPN","公衆回線網を利用して、あたかも専用線のように安全な通信路を仮想的に構築する技術です。","リモートワークでの社内アクセス","Virtual Private Networkの略"
"N042","DNSサーバ","ドメイン名とIPアドレスの対応を管理し、問い合わせに応じて変換結果を返すサーバです。","Google Public DNS (8.8.8.8)","DNS(N007)の仕組みを実現するサーバ"
"N043","Webサーバ","ブラウザからの要求(HTTPリクエスト)に応じ、Webページのデータを提供するサーバです。","Apache, Nginxなどのソフトウェア","HTTP(N005)で通信を行う"
"N044","メールサーバ","電子メールの送受信を中継するサーバ。SMTP、POP3、IMAPサーバなどがあります。","GmailやOutlookのサーバ群","SMTP(N009), POP3(N010), IMAP(N011)が動作"
"N045","サブネットマスク","IPアドレスのどこまでがネットワーク部で、どこからがホスト部かを示す数値です。","255.255.255.0","IPアドレス(N016)とセットで利用"
"N046","デフォルトゲートウェイ","内部ネットワークから外部ネットワークへ通信する際の、出口となるルーターのIPアドレスです。","家庭用ルーターのIPアドレス(192.168.1.1など)","ルーター(N021)が担う役割"
"N047","ping","特定のIPアドレスを持つ機器との通信疎通を確認するための診断コマンドです。","ping 8.8.8.8","ICMP(N049)プロトコルを利用"
"N048","ARP","IPアドレスから、対応する機器のMACアドレスを取得するためのプロトコルです。","PCがルーターのMACアドレスを知る時","Address Resolution Protocolの略"
"N049","ICMP","IP通信におけるエラー通知や制御メッセージを転送するためのプロトコルです。","ping(N047)で利用される","Internet Control Message Protocolの略"
"N050","イーサネット","世界で最も普及している有線LANの規格。ツイストペアケーブルや光ファイバーを使用します。","カテゴリ6のLANケーブル","LAN(N019)で利用される代表的な規格"
